June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,-,Holiday & Seasonal Décor,,,,,,170090,Moved from [Holiday & Seasonal Décor-38227] Renamed from [Christmas & Winter],
,,,Advent Calendars,,,,,156813,,
,,,Candle Holders,,,,,259702,New Category,
,,,Candles,,,,,168138,Renamed from [Candles & Candle Accessories],
,,,Christmas Crackers,,,,,91330,,
,,,Christmas Trees,,,,,117414,Renamed from [Artificial Christmas Trees],
,,,Figurines,,,,,117413,,
,,,Linens & Textiles,,,,,259703,New Category,
,,,Nativity Items,,,,,156862,,
,,,Nutcrackers,,,,,177743,,
,,,Ornaments,,,,,166725,,
,,,Pillows,,,,,52346,Renamed from [Linens & Pillows],
,,,Snow Globes,,,,,156890,,
,,,Stockings & Hangers,,,,,170091,,
,,,String Lights,,,,,38229,Renamed from [Lights],
,,,Table Décor & Serving Pieces,,,,,52347,,
,,,Tree Stands & Skirts,,,,,166726,"Renamed from [Tree Stands, Skirts & Storage]",
,,,Wall Décor,,,,,166727,,
,,,Window Decorations,,,,,156844,,
,,,"Wreaths, Garlands & Plants",,,,,117419,,
,,,Yard Décor,,,,,156812,,
,,,Other Holiday & Seasonal Décor,,,,,170092,Renamed from [Other Christmas & Winter Décor],
,+,Home Décor,,,,,,10033,,
,-,Home Improvement,,,,,,159907,,
,,-,Building & Hardware,,,,,3187,,
,,,,Building Plans & Blueprints,,,,42130,,
,,,-,"Cabinets, Countertops & Hardware",,,,41971,Renamed from [Cabinets & Cabinet Hardware],
,,,,,Cabinets,,,85879,,
,,,,,Cabinet Backplates,,,259151,New Category,
,,,,,Cabinet Catches & Latches,,,259152,New Category,
,,,,,Cabinet Door Dampers & Bumpers,,,259153,New Category,
,,,,,Cabinet Doors & Drawer Fronts,,,259154,New Category,
,,,,,Cabinet & Drawer Locks,,,180961,,
,,,,,Cabinet Hinges,,,41973,,
,,,,,Cabinet Knobs & Pulls,,,180962,All listings are being moved into [Cabinet Pulls - 259156].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Cabinet Knobs,,,259155,New Category,
,,,,,Cabinet Pulls,,,259156,New Category,
,,,,,Countertops,,,259157,New Category,
,,,,,Countertop Hardware,,,259158,New Category,
,,,,,Drawer Slides,,,134642,,
,,,,,Drawer Slide Parts,,,259159,New Category,
,,,,,Other Cabinet Hardware,,,180963,,
,,,-,Doors & Door Hardware,,,,41976,,
,,,,,Closet & Sliding Door Hardware,,,259160,New Category,
,,,,,Doors,,,85892,,
,,,,,Doorbells,,,115975,,
,,,,,Doorbell Parts,,,259161,New Category,
,,,,,Door Closers,,,167125,,
,,,,,Door Hinges,,,66739,,
,,,,,Door Knobs & Levers,,,180964,,
,,,,,Door Knockers,,,180965,,
,,,,,Door Locks & Lock Mechanisms,,,180966,,
,,,,,Door Plates,,,259162,New Category,
,,,,,Door Viewers,,,126439,,
,,,,,Entry Door Lock Sets,,,158456,Renamed from [Door Entry Sets],
,,,,,Latches & Bolts,,,180967,,
,,,,,Screen Doors,,,180968,All listings are being moved into [Doors - 85892].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,+,Smart Doorbells & Locks,,,257925,,
,,,,,Weather Stripping,,,124980,,
,,,,,Other Door Hardware,,,20593,,
,,,-,Flooring & Tiles,,,,180983,,
,,,,,Cork Flooring,,,259868,New Category,
,,,,,Floor & Wall Tiles,,,45800,,
,,,,,Laminate & Vinyl Flooring,,,85914,All listings are being moved into [Laminate Flooring - 259165].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Floor Tile Medallions,,,259163,New Category,
,,,,,Garage Flooring,,,259164,New Category,
,,,,,Laminate Flooring,,,259165,New Category,
,,,,,Vinyl Flooring,,,259166,New Category,
,,,,,Wood Flooring,,,84221,,
,,,,,Flooring Moldings & Trims,,,129788,All listings are being moved into [Baseboard Molding - 259251].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Floor Transitions,,,259167,New Category,
,,,,,Flooring Underlayment,,,130118,,
,,,,,Flooring & Tiling Accessories,,,130122,,
,,,,,Tile Setting & Waterproofing Materials,,,259168,New Category,
,,,,,Other Flooring,,,20604,,
,,,-,Garage Doors & Openers,,,,180972,,
,,,,,Garage Doors,,,115699,,
,,,,,Garage Door Bearings & Bearing Plates,,,259169,New Category,
,,,,,Garage Door Cables & Pulls,,,259170,New Category,
,,,,,Garage Door Frames,,,259171,New Category,
,,,,,Garage Door Handling & Locks,,,259172,New Category,
,,,,,Garage Door Hinges,,,259173,New Category,
,,,,,Garage Door Keypads,,,259174,New Category,
,,,,,"Garage Door Rollers, Sensors & Springs",,,259175,New Category,
,,,,,Garage Door Screens,,,259176,New Category,
,,,,,Garage Door Seals & Weather Stripping,,,259177,New Category,
,,,,,Garage Door Parts & Accs,,,179687,,
,,,,,Garage Door Remotes,,,85899,,
,,,,,Garage Door Opener Systems,,,85898,Renamed from [Opener Systems],
,,,,,Gate Opener Systems,,,259178,New Category,
,,,,,Opener Parts & Accessories,,,179688,,
,,,,,Smart Garage Door Openers,,,185057,,
,,,,,Smart Garage Door Opener Parts & Accessories,,,257928,,
,,,,,Other Garage Door Equipment,,,180973,,
,,,-,"Gutters, Gutter Guards & Downspouts",,,,259231,New Category,
,,,,,Gutter Components,,,259232,New Category,
,,,,,Gutter Guards,,,259233,New Category,
,,,,,Downspout Extensions,,,259234,New Category,
,,,,,Gutter Accessories,,,259235,New Category,
,,,,Lettering & Numbering Hardware,,,,259222,New Category,
,,,-,Lumber & Composites,,,,180969,,
,,,,,Boards,,,259179,New Category,
,,,,,Lumber,,,180970,,
,,,,,Studs,,,259180,New Category,
,,,,,Wall Paneling & Wainscoting,,,30562,Renamed from [Wall Paneling],
,,,,,Wood Composite Panels & Sheets,,,180971,,
,,,,,Wood Veneer Sheets,,,126201,,
,,,,,Other Lumber & Composites,,,30564,,
,,,,Mailboxes & Slots,,,,20599,The Category ID is being changed to [259224].,Please update your category ID accordingly.
,,,-,"Mailboxes, Slots & Hardware",,,,259223,New Category,
,,,,,Mailboxes & Slots,,,259224,New Category,
,,,,,Mailbox Hardware & Accessories,,,259184,New Category,
,,,-,Molding & Millwork,,,,259249,New Category,
,,,,,Accents & Trim,,,259250,New Category,
,,,,,Baseboard Molding,,,259251,New Category,
,,,,,Chair Rail Molding,,,259252,New Category,
,,,,,Corbels & Supports,,,259337,New Category,
,,,,,Crown Molding,,,259253,New Category,
,,,,,Window & Door Trim,,,259254,New Category,
,,,,,Wood Applique,,,259255,New Category,
,,,-,"Nails, Screws & Fasteners",,,,180974,,
,,,,,Anchors,,,83852,,
,,,,,Braces & Brackets,,,45816,,
,,,,,Hooks & Eyes,,,130126,Renamed from [Hooks],
,,,,,Nails,,,30541,,
,,,,,Nuts,,,125034,,
,,,,,Pins,,,180975,All listings are being moved into [Clevis Pins - 183932].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Rivets,,,125033,All listings are being moved into [Blind & Drive Rivets - 183926].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Screws & Bolts,,,180976,,
,,,,,Washers,,,180977,,
,,,,,Fastener Assortments,,,180978,,
,,,,,Other Fasteners,,,170412,,
,,,-,Paint Sprayers & Guns,,,,259207,New Category,
,,,,,Spray Guns,,,259208,New Category,
,,,,,Sprayers,,,259209,New Category,
,,,,,Hoses,,,259210,New Category,
,,,,,Tips,,,259211,New Category,
,,,,,Filters & Screens,,,259212,New Category,
,,,,,Gun Extensions,,,259213,New Category,
,,,,,Sprayer Fittings & Couplings,,,259214,New Category,
,,,,,Tip Guards,,,259215,New Category,
,,,,,Pressure Rollers & Accessories,,,259216,New Category,
,,,-,"Paint, Stain & Varnish",,,,180979,Renamed from [Paint & Varnish],
,,,,,Interior & Exterior Paint,,,180164,Renamed from [Paint],
,,,,,Ceiling Paint,,,259185,New Category,
,,,,,Furniture & Specialty Paint,,,259186,New Category,
,,,,,Lacquers,,,259187,New Category,
,,,,,Paint Primers,,,126191,,
,,,,,Varnishes & Stains,,,84059,All listings are being moved into [Stains - 259191].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Polyurethanes,,,259188,New Category,
,,,,,Sealants & Waterproofers,,,259189,New Category,
,,,,,Shellac,,,259190,New Category,
,,,,,Stains,,,259191,New Category,
,,,,,Strippers & Removers,,,259192,New Category,
,,,,,Varnishes,,,259193,New Category,
,,,,,"Wood Conditioners, Finishes & Oils",,,259194,New Category,
,,,,,Wood Wax,,,259195,New Category,
,,,,,"Other Paint, Stain & Varnish",,,180980,Renamed from [Other Paint & Varnish],
,,,-,Painting Supplies,,,,41989,Renamed from [Painting Supplies & Sprayers],
,,,,,Foam Brushes,,,259196,New Category,
,,,,,Paint Brushes,,,41990,,
,,,,,Paint Guns & Sprayers,,,41991,All listings are being moved into [Spray Guns - 259208].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,"Paint Buckets, Cups & Trays",,,259198,New Category,
,,,,,Paint Equipment Cleaning Supplies,,,259199,New Category,
,,,,,Paint Mixers & Stirrers,,,259200,New Category,
,,,,,"Painters Plastic, Sheeting & Drop Cloths",,,259201,New Category,
,,,,,Paint Rollers,,,259203,New Category,
,,,,,Paint Sponges,,,259204,New Category,
,,,,,Paint Thinner & Solvents,,,30554,,
,,,,,Painting Prep,,,179689,All listings are being moved into [Masking Tape & Repair Kits - 259202].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Painting Rollers & Sponges,,,41992,All listings are being moved into [Paint Rollers - 259203].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Poles & Extension Poles,,,259205,New Category,
,,,,,Masking Tape & Repair Kits,,,259202,New Category,
,,,,,Sandpaper & Sanding Sheets,,,259206,New Category,
,,,,,Other Home Painting Supplies,,,98841,,
,,,-,Roofing Tiles & Shingles,,,,259225,New Category,
,,,,,Roof Flashing,,,259226,New Category,
,,,,,Roof Panels,,,259227,New Category,
,,,,,Roof Shingles,,,259228,New Category,
,,,,,Roof Tiles,,,259229,New Category,
,,,,,Roof Underlayment,,,259230,New Category,
,,,-,"Siding, Skirting & Outdoor Trim",,,,259243,New Category,
,,,,,Siding,,,259244,New Category,
,,,,,Skirting,,,259245,New Category,
,,,,,Trim,,,259246,New Category,
,,,,,Mounting Blocks,,,259247,New Category,
,,,,,Trim Accessories,,,259248,New Category,
,,,-,Stairs & Railing,,,,259236,New Category,
,,,,,Balusters & Spindles,,,259237,New Category,
,,,,,Handrails,,,259238,New Category,
,,,,,Handrail Fittings,,,259239,New Category,
,,,,,Posts,,,259240,New Category,
,,,,,Treads & Risers,,,259241,New Category,
,,,,,Staircase Kits,,,259242,New Category,
,,,-,Wallpaper & Accessories,,,,180981,,
,,,,,Wallpaper Borders,,,42136,,
,,,,,Wallpaper Murals,,,79626,,
,,,,,Wallpaper Rolls & Sheets,,,50364,,
,,,,,"Wallpaper Tools, Accessories & Adhesives",,,180112,Renamed from [Wallpaper Tools & Accessories],
,,,,,Other Wallpaper,,,52348,,
,,,-,Windows & Window Hardware,,,,180113,,
,,,,,Home Windows,,,45794,Renamed from [Windows],
,,,,,Basement Windows,,,259217,New Category,
,,,,,Skylight & Roof Windows,,,259218,New Category,
,,,,,Storm Windows,,,259219,New Category,
,,,,,Transom Windows,,,259220,New Category,
,,,,,Window Hardware,,,45812,,
,,,,,Window Screens,,,180982,,
,,,,,Window Sills,,,129782,,
,,,,,Window Wells,,,259221,New Category,
,,,,,Weather Stripping,,,124978,,
,,,,,Other Window Accessories,,,180114,,
,,,,Other Home Building & Hardware,,,,20594,,
,,-,Electrical & Solar,,,,,20595,This Category is being retired.,
,,,,Circuit Breakers & Fuse Boxes,,,,20596,All listings are being moved into [Circuit Breakers - 259485].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Connectors & Ties,,,,41982,All listings are being moved into [Other Electrical Wire & Cable Accessories - 259305].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Extension Cords,,,,75577,The Category ID is being changed to [259493].,Please update your category ID accordingly.
,,,-,Switches & Outlets,,,,41983,This Category is being retired.,
,,,,,Dimmers,,,41984,All listings are being moved into [Electrical Switches - 259281].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Outlets & Receptacles,,,41985,All listings are being moved into [Electrical Outlets & Receptacles - 259280].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Timers,,,115711,All listings are being moved into [Electrical Switches - 259281].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Other Electrical Switches,,,20597,All listings are being moved into [Electrical Switches - 259281].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other Electrical & Solar,,,,3188,All listings are being moved into [Other Electrical Wire & Cable Accessories - 259305].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Electrical Supplies,,,,,259482,New Category,
,,,-,Alternative Energy Supplies,,,,41979,Moved from [Electrical & Solar-20595] Renamed from [Alternative & Solar Energy],
,,,,,Alternative Energy Chargers & Inverters,,,41980,Renamed from [Chargers & Inverters],
,,,,,Hydropower Turbines,,,259282,New Category,
,,,,,Permanent Magnetic Alternators,,,259272,New Category,
,,,,-,Solar Power Supplies,,,259283,New Category,
,,,,,,Solar Battery Chargers/Maintainers & Kits,,259284,New Category,
,,,,,,Solar Cells & Kits,,259285,New Category,
,,,,,,Solar Charge Controller,,259286,New Category,
,,,,,,Solar Connectors,,259287,New Category,
,,,,,,Solar Panels & Kits,,41981,Moved from [Alternative & Solar Energy-41979] Renamed from [Solar Panels],
,,,,,,Solar Power Accessories,,259288,New Category,
,,,,,,Solar Water Pumps & Kits,,115710,Moved from [Alternative & Solar Energy-41979] Renamed from [Solar Water Pumps],
,,,,,,Solar Wires & Cables,,259289,New Category,
,,,,-,Wind Power Supplies,,,259290,New Category,
,,,,,,Wind Power Accessories,,259291,New Category,
,,,,,,Wind Turbine Towers,,259292,New Category,
,,,,,,Wind Turbines & Kits,,121837,Moved from [Alternative & Solar Energy-41979] Renamed from [Wind Generators],
,,,,,Other Alternative Energy Supplies,,,3240,Renamed from [Other Alt. & Solar Energy],
,,,-,"Electrical Outlets, Switches & Accessories",,,,259273,New Category,
,,,,-,Electrical Outlet & Switch Accessories,,,259274,New Category,
,,,,,,Electrical Plugs & Connectors,,259275,New Category,
,,,,,,Electrical Switch Accessories,,259276,New Category,
,,,,,,Outlet Adapter Accessories,,259277,New Category,
,,,,,Electrical Outlet Adapters & Converters,,,88759,Moved from [Multipurpose Batteries & Power-48446] Renamed from [Travel Adapters & Converters],
,,,,,Electrical Outlets & Receptacles,,,259280,New Category,
,,,,,Electrical Switches,,,259281,New Category,
,,,,-,"Smart Outlets, Wall Switches & Accessories",,,185058,Moved from [Switches & Outlets-41983] Renamed from [Smart Outlets & Wall Switches],
,,,,,,Smart Outlets & Receptacles,,185060,,
,,,,,,Smart Wall Switches & In-Line Modules,,185059,,
,,,,,,Smart Outlet Parts & Accessories,,257929,,
,,,,,,Smart Wall Switch Parts & Accessories,,257931,,
,,,-,"Electrical Panels, Parts & Accessories",,,,259483,New Category,
,,,,-,"Circuit Breakers, Fuses & Accessories",,,259484,New Category,
,,,,,,Circuit Breakers,,259485,New Category,
,,,,,,Circuit Breaker & Fuse Accessories,,259310,New Category,
,,,,,,Fuses,,259486,New Category,
,,,,,Electrical Boxes,,,259487,New Category,
,,,,,Electrical Panels,,,259488,New Category,
,,,,,Other Electrical Panel Parts & Accessories,,,259489,New Category,
,,,,Electrical Wires & Cables,,,,259293,New Category,
,,,-,Electrical Wire & Cable Accessories,,,,259294,New Category,
,,,,,Cable Protectors,,,259295,New Category,
,,,,,Cable Ties,,,259296,New Category,
,,,,,Conduit Fitting & Accessories,,,259297,New Category,
,,,,,Electrical Cable & Wire Staples,,,259298,New Category,
,,,,,Electrical Conduit,,,259299,New Category,
,,,,,Electrical Tape,,,259300,New Category,
,,,,,Electrical Wire & Cable Connectors,,,259301,New Category,
,,,,,Heat Shrink Tubing,,,259302,New Category,
,,,,,Strut Channel Accessories,,,259303,New Category,
,,,,,Strut Channels,,,259304,New Category,
,,,,,Other Electrical Wire & Cable Accessories,,,259305,New Category,
,,,-,Extension Cords & Accessories,,,,259490,New Category,
,,,,,Extension Cord Covers & Protectors,,,259491,New Category,
,,,,,Extension Cord Storage,,,259492,New Category,
,,,,,Extension Cords,,,259493,New Category,
,,,,,Other Extension Cord Accessories,,,259494,New Category,
,,,,Power Strips & Surge Protectors,,,,67779,"Moved from [Multipurpose Batteries & Power-48446] Renamed from [Surge Protectors, Power Strips]",
,,,,Power Strip & Surge Protector Accessories,,,,259307,New Category,
,,,,Wall Plates,,,,43412,Moved from [Electrical & Solar-20595] Renamed from [Switch Plates & Outlet Covers],
,,,,Wall Plate Accessories,,,,259308,New Category,
,,+,"Heating, Cooling & Air",,,,,69197,,
,,-,Home Security,,,,,41968,,
,,,,Alarm Systems,,,,41969,New Category,
,,,,Door Entry Systems & Intercoms,,,,14953,,
,,,,Fire Escape Ladders,,,,159910,,
,,,,Hide-a-Keys,,,,115945,,
,,,,Safes,,,,121836,The Category ID is being changed to [112601].,Please update your category ID accordingly.
,,,,Locks,,,,98855,New Category,
,,,,Personal Alarms,,,,102536,Moved from [Personal Security-102535] Renamed from [Alarms],
,,,,Safes,,,,112601,New Category,
,,,,Security Keypads,,,,115944,,
,,,,Security Signs & Decals,,,,159908,,
,,,-,Smoke & Gas Detectors,,,,115941,The Category ID is being changed to [41970].,
,,,,,Carbon Monoxide Detectors,,,115943,All listings are being moved into [Smoke & Gas Detectors - 41970].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Smoke Detectors,,,115942,All listings are being moved into [Smoke & Gas Detectors - 41970].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Smoke & Gas Detectors,,,,41970,Moved from [Smoke & Gas Detectors-115941] Renamed from [Other Smoke & Gas Detectors],
,,,,Water & Temperature Detectors,,,,259752,New Category,
,,,,Wireless Transmitters,,,,115946,,
,,,,Other Home Security,,,,20589,,
,,-,Plumbing & Fixtures,,,,,20601,,
,,,,Bathtubs,,,,42025,,
,,,,Bidets & Toilet Attachments,,,,101405,All listings are being moved into [Toilet & Bidet Attachments - 259860].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Faucets,,,,42024,All listings are being moved into [Kitchen Faucets - 259833].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Garbage Disposals,,,,42022,All listings are being moved into [Garbage Disposal Systems - 259836].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Bidets & Toilet Attachments,,,,259865,New Category,
,,,,,Toilet & Bidet Attachments,,,259860,New Category,
,,,,,Bidet Faucets,,,259861,New Category,
,,,,,Bidet Seats,,,259862,New Category,
,,,,,Bidet Toilets,,,259863,New Category,
,,,,Clamps,,,,259864,New Category,
,,,-,Faucets,,,,259866,New Category,
,,,,,Bath Sink Faucets,,,259831,New Category,
,,,,,Bathtub Faucets,,,259832,New Category,
,,,,,Kitchen Faucets,,,259833,New Category,
,,,,,Shower Faucets,,,259834,New Category,
,,,,Fittings,,,,259835,New Category,
,,,-,Garbage Disposals,,,,259867,New Category,
,,,,,Garbage Disposal Systems,,,259836,New Category,
,,,,,Garbage Disposal Parts,,,259837,New Category,
,,,,Hot & Cold Water Dispensers,,,,121848,Renamed from [Hot/Cold Water Dispensers],
,,,,Shower Enclosures & Doors,,,,121850,All listings are being moved into [Shower Doors - 147147].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Shower Panels & Massagers,,,,121849,The Category ID is being changed to [147148].,Please update your category ID accordingly.
,,,,Mounted Soap Dispensers,,,,121847,Renamed from [Soap Dispensers-Mounted],
,,,,Mounted Toilet Paper Holders,,,,32876,Renamed from [Toilet Paper Holders-Mounted],
,,,,Pipes,,,,259838,New Category,
,,,-,Pipe Accessories,,,,259839,New Category,
,,,,,Collars,,,259840,New Category,
,,,,,Drain Grates & Sleeves,,,259841,New Category,
,,,,,Flashing,,,259842,New Category,
,,,,,Pipe Hangers,,,259843,New Category,
,,,,,Other Accessories,,,259844,New Category,
,,,,Pumps,,,,42132,,
,,,,Pump Parts & Accessories,,,,259845,New Category,
,,,,Shower Curtain Rods,,,,168132,,
,,,-,Shower Enclosures & Doors,,,,147146,New Category,
,,,,,Shower Bases & Pans,,,112555,New Category,
,,,,,Shower Doors,,,147147,New Category,
,,,,,Shower Door Parts & Accessories,,,259848,New Category,
,,,,,Shower Stalls & Kits,,,147151,New Category,
,,,,,Shower Walls & Surrounds,,,259850,New Category,
,,,,Shower Heads,,,,71282,,
,,,,Shower Panels & Massagers,,,,147148,New Category,
,,,-,Steam Showers,,,,259851,New Category,
,,,,,Steam Generators,,,259852,New Category,
,,,,,Steam Shower Heads,,,259853,New Category,
,,,,,Steam Shower Kits,,,259854,New Category,
,,,-,Sinks,,,,259869,New Category,
,,,,,Kitchen Sinks,,,20603,New Category,
,,,,,Bathroom Sinks,,,71283,Moved from [Plumbing & Fixtures-20601] Renamed from [Sinks],
,,,,Toilets,,,,71284,,
,,,,Toilet Seats,,,,37637,,
,,,,Toilet Parts,,,,259857,New Category,
,,,,Towel Racks,,,,20442,,
,,,,"Valves, Fittings & Clamps",,,,42133,All listings are being moved into [Valves - 259858].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Valves,,,,259858,New Category,
,,,,Vanities,,,,115625,,
,,,,Water Filtration Systems,,,,116400,Renamed from [Water Filters],
,,,,Water Filters & Filtration Parts,,,,259859,New Category,
,,,,Other Home Plumbing & Fixtures,,,,3191,,
,,,Other Home Improvement,,,,,160038,,
,-,Household Supplies & Cleaning,,,,,,299,,
,,,Cleaning Products,,,,,20605,The Category ID is being changed to [259621].,Please update your category ID accordingly.
,,-,Paper Products,,,,,179198,This Category is being retired.,
,,,,Paper Cups,,,,179200,All listings are being moved into [Party Tableware & Serveware - 26388].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Paper Napkins,,,,179201,All listings are being moved into [Party Tableware & Serveware - 26388].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Paper Plates,,,,179202,All listings are being moved into [Party Tableware & Serveware - 26388].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other Household Paper Products,,,,179205,All listings are being moved into [Party Tableware & Serveware - 26388].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Cleaning Products,,,,,259621,New Category,
,,-,Cleaning Tools,,,,,259338,New Category,
,,,,Mops & Brooms,,,,20607,Moved from [Household Supplies & Cleaning-299],
,,,,Mop Parts & Accessories,,,,259341,New Category,
,,,,Carpet & Floor Sweepers,,,,79657,Moved from [Household Supplies & Cleaning-299],
,,,,Cleaning Towels & Cloths,,,,29509,Moved from [Household Supplies & Cleaning-299],
,,,,Cleaning Gloves,,,,259347,New Category,
,,,,Squeegees & Window Cleaning,,,,112579,New Category,
,,,,Cleaning Brushes,,,,259344,New Category,
,,,,Dusters,,,,161648,New Category,
,,,,Sponges & Scourers,,,,129609,New Category,
,,,,Washing Up Bowls,,,,122935,New Category,
,,,Steam Cleaners,,,,,79656,Renamed from [Carpet Steamers],
,,,Steam Cleaner Parts & Accessories,,,,,259342,New Category,
,,,Carpet Cleaners,,,,,177746,Renamed from [Carpet Shampooers],
,,,Vacuum Cleaners,,,,,20614,,
,,,Vacuum Cleaner Bags,,,,,20618,,
,,,Vacuum Parts & Accessories,,,,,42146,,
,,-,Laundry Supplies,,,,,20620,,
,,,,Bleaches & Stain Removers,,,,172208,"All listings are being moved into [Detergents, Softeners & Stain Removers - 78691].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Clotheslines & Laundry Airers,,,,81241,Renamed from [Clotheslines & Laundry Hangers],
,,,,Clothespins & Bags,,,,122847,New Category,
,,,,"Detergents, Softeners & Stain Removers",,,,78691,Renamed from [Detergents],
,,,,Fabric Deodorizers,,,,172211,"All listings are being moved into [Detergents, Softeners & Stain Removers - 78691].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Fabric Softeners,,,,172212,"All listings are being moved into [Detergents, Softeners & Stain Removers - 78691].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Clothes Folders,,,,259339,New Category,
,,,,Laundry Balls,,,,259340,New Category,
,,,,Laundry Carts & Hampers,,,,43517,Renamed from [Hampers],
,,,,Garment Steamers,,,,43514,,
,,,,Irons,,,,43513,,
,,,,Ironing Boards,,,,43512,,
,,,,Ironing Board Covers & Accessories,,,,134734,Renamed from [Ironing Board Covers],
,,,,Laundry Bags,,,,43516,,
,,,,Lint Removers,,,,170626,Renamed from [Lint Removers & Lint Shavers],
,,,,Other Laundry Supplies,,,,20624,,
,,-,Home Organization,,,,,43502,,
,,,,Closet Organizers,,,,43503,,
,,,,Clothes Hangers,,,,116743,,
,,,,Coat & Hat Racks,,,,22656,,
,,,,Garment Racks,,,,166325,,
,,,,Hooks & Hangers,,,,36024,,
,,,,Magazine Racks,,,,38223,,
,,,,Shoe Organizers,,,,43506,,
,,,,Storage Bags,,,,43504,,
,,,,Storage Bins & Baskets,,,,159898,,
,,,,Storage Boxes,,,,159897,,
,,,,Drawer Liners,,,,122772,New Category,
,,,,Other Home Organization,,,,20621,,
,,-,General Household Supplies,,,,,259345,New Category,
,,,,Facial Tissues,,,,179199,Moved from [Paper Products-179198],
,,,,Paper Towels,,,,179203,Moved from [Paper Products-179198],
,,,,Toilet Paper,,,,179204,Moved from [Paper Products-179198],
,,,,Lighters,,,,259019,New Category,
,,,,Trash Cans & Wastebaskets,,,,20608,Moved from [Household Supplies & Cleaning-299],
,,,,Trash Bags,,,,259346,New Category,
