June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,,Broach Setup Plugs,,,258152,New Category,
,,,,,Broach Shims,,,258154,New Category,
,,,,,Keyway Broaches,,,258153,New Category,
,,,,,Rotary Broaches,,,258130,New Category,
,,,-,Dies,,,,258185,New Category,
,,,,,"Die Heads, Chasers & Carriers",,,258177,New Category,
,,,,,Die Wrenches,,,258178,New Category,
,,,,,Threading Dies,,,258179,New Category,
,,,,Cutting Tool Sharpeners,,,,258168,New Category,
,,,-,Drills,,,,58213,Moved from [CNC & Metalworking Supplies-25257],
,,,,,Extra Length,,,58215,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Jobber Length,,,25259,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Screw Machine,,,58217,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Solid Carbide,,,58218,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Taper Shank Drills,,,58219,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Mixed Lots,,,58216,All listings are being moved into [Other Metalworking Drills - 159703].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Countersinks,,,258155,New Category,
,,,,,Counterbores,,,258156,New Category,
,,,,,Drill Bit Storage,,,258158,New Category,
,,,,,Drill Blanks,,,258162,New Category,
,,,,,Drill Bit Extensions and Sets,,,258163,New Category,
,,,,,Drill Stops,,,258164,New Category,
,,,,,Hole Cutters,,,258157,New Category,
,,,,,Machining Drill Bits,,,258160,New Category,
,,,,,Power Drill Bits,,,258161,New Category,
,,,,,Other Metalworking Drills,,,159703,,
,,,,EDM,,,,258165,New Category,
,,,-,End Mills,,,,258166,New Category,
,,,,,Finishing End Mills,,,258167,New Category,
,,,,,Indexable Finishing End Mills,,,258176,New Category,
,,,,,Roughing & Router End Mills,,,258182,New Category,
,,,,,"End Mills Accessories, Extensions & Storage",,,258183,New Category,
,,,,Milling Cutters,,,,258181,New Category,
,,,,Punches,,,,258184,New Category,
,,,-,Reamers,,,,258186,New Category,
,,,,,Adjustable & Expansion Reamers,,,258187,New Category,
,,,,,Bridge Reamers,,,258190,New Category,
,,,,,Capscrew Counterbore Reamers,,,258191,New Category,
,,,,,Chucking Reamers,,,258192,New Category,
,,,,,Hand Reamers,,,258193,New Category,
,,,,,Shell Reamers,,,258194,New Category,
,,,,,Taper Pin Reamers,,,258196,New Category,
,,,,,Taper Pipe Reamers,,,258197,New Category,
,,,,,Modular Reamers,,,258189,New Category,
,,,,,Morse Taper Reamers,,,258198,New Category,
,,,-,Saw Blades,,,,258199,New Category,
,,,,,Band Saw Blades,,,258200,New Category,
,,,,,Chain Saw Bars & Chains,,,258201,New Category,
,,,,,Circular Saw Blades,,,258202,New Category,
,,,,,Compass Saw Blades,,,258203,New Category,
,,,,,Diamond Saw Blades,,,258204,New Category,
,,,,,Hacksaw Blades,,,258205,New Category,
,,,,,Hole Saws,,,258206,New Category,
,,,,,Jeweler's & Coping Saw Blades,,,258207,New Category,
,,,,,Jig & Scroll Saw Blades,,,258208,New Category,
,,,,,Reciprocating Saw Blades,,,259027,New Category,
,,,-,Taps,,,,258209,New Category,
,,,,,Acme Taps,,,258210,New Category,
,,,,,"Extension, Pulley & Nut Taps",,,258211,New Category,
,,,,,Hand Taps,,,258212,New Category,
,,,,,Pipe Taps,,,258213,New Category,
,,,,,Screw Thread Insert Taps,,,258214,New Category,
,,,,,Spiral Flute Taps,,,258215,New Category,
,,,,,Spiral Point Taps,,,258216,New Category,
,,,,,Straight Flute Taps,,,258217,New Category,
,,,,,Tap Wrenches & Tap Sets,,,258219,New Category,
,,,,,Thread Forming Taps,,,258218,New Category,
,,,,Thread Mills,,,,258220,New Category,
,,,,Tool Bits,,,,41933,Moved from [CNC & Metalworking Supplies-25257],
,,,,Turning Tools,,,,258055,New Category,
,,,,Other Metalworking Supplies,,,,258221,New Category,
,,-,Process Engineering Equipment,,,,,45038,,
,,,,Filtration Equipment,,,,159707,All listings are being moved into [Other Process Engineering Equipment - 11809].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Hammer Mills,,,,185132,All listings are being moved into [Grinding Machines - 258072].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Filtration Equipment,,,,258222,New Category,
,,,,-,Dust Filtration,,,258223,New Category,
,,,,,,Air Filtration Systems & Dust Collectors,,258224,New Category,
,,,,,,Dust Collector Bags & Cartridges,,258225,New Category,
,,,,-,Fluid Filtration,,,258226,New Category,
,,,,,,"Fluid Filtration Systems, Vessels & Housings",,258227,New Category,
,,,,,,Filtration Basket Strainers & Wire Mesh,,258228,New Category,
,,,,,,Liquid Filter Bags & Cartridges,,258229,New Category,
,,,-,Plastic Processing Equipment,,,,36350,Renamed from [Plastics Equipment & Supplies],
,,,,-,Auxiliary Process Equipment,,,67065,,
,,,,,,Plastic Granulators,,67067,,
,,,,,,Plastic Process Dryers,,67066,Renamed from [Dryers],
,,,,,,Plastic Welders & Sealers,,71420,,
,,,,,,Other Aux Process Equipment,,36351,,
,,,,,Molds & Dies,,,61791,,
,,,,,Plastic Molding Machines,,,45037,Renamed from [Injection & Blow Molding],
,,,,,Other Plastic Processing Equipment & Supplies,,,26258,Renamed from [Other Plastics Equipment],
,,,,Process Mixers,,,,98119,All listings are being moved into [Other Process Engineering Equipment - 11809].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Process Boilers,,,,258230,New Category,
,,,-,Process Mixers,,,,258231,New Category,
,,,,,Drum/Tank Mixers,,,258232,New Category,
,,,,,Mud Mixers,,,258233,New Category,
,,,,,Paint Mixers,,,258234,New Category,
,,,,Other Process Engineering Equipment,,,,11809,,
,,-,Raw Materials,,,,,182919,,
,,,-,Plastics & Rubbers,,,,61792,This Category is being retired.,
,,,,,Plastic & Rubber Discs,,,182955,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Hex Rods,,,182956,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Hex Tubes,,,182957,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Round Rods,,,182958,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Round Tubes,,,182959,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Sheets,,,182960,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Spheres,,,182961,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Square Bars,,,182962,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Plastic & Rubber Square Tubes,,,182963,All listings are being moved into [Other Raw Materials - 258260].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Carbon Fiber,,,,182933,Renamed from [Carbon Fiber Raw Materials],
,,,,,Carbon Fiber Round Tubes,,,182934,,
,,,,,Carbon Fiber Square Tubes,,,182935,,
,,,,,Carbon Fiber Sheets,,,182936,,
,,,-,Graphite,,,,182937,Renamed from [Graphite Raw Materials],
,,,,,Graphite Round Rods,,,182938,,
,,,,,Graphite Square Bars,,,182939,,
,,,,,Graphite Sheets,,,182940,,
,,,-,Metals & Alloys,,,,182920,,
,,,,,Metal & Alloy Angles,,,182921,,
,,,,,Metal & Alloy Channels,,,182922,,
,,,,,Metal & Alloy Discs,,,182923,,
,,,,,Metal & Alloy Hex Rods,,,182924,,
,,,,,Metal & Alloy Hex Tubes,,,182925,All listings are being moved into [Metal & Alloy Round Tubes - 182927].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Metal & Alloy Hex Tubes,,,258235,New Category,
,,,,,Metal & Alloy Round Rods,,,182926,,
,,,,,Metal & Alloy Round Tubes,,,182927,,
,,,,,Metal & Alloy Spheres,,,182929,,
,,,,,Metal & Alloy Square Bars,,,182930,,
,,,,,Metal & Alloy Square Tubes,,,182931,,
,,,,,Metal Non-Electrical Wire,,,182932,,
,,,,,Metal Sheets & Flat Stock,,,182928,,
,,,-,Plastics,,,,258237,New Category,
,,,,,Plastic Discs,,,258238,New Category,
,,,,,Plastic Hex Rods,,,258239,New Category,
,,,,,Plastic Hex Tubes,,,258240,New Category,
,,,,,Plastic Round Rods,,,258241,New Category,
,,,,,Plastic Round Tubes,,,258242,New Category,
,,,,,Plastic Sheets,,,258243,New Category,
,,,,,Plastic Spheres,,,258244,New Category,
,,,,,Plastic Square Bars,,,258245,New Category,
,,,,,Plastic Square Tubes,,,258246,New Category,
,,,-,Rubbers,,,,258247,New Category,
,,,,,Rubber Discs,,,258248,New Category,
,,,,,Rubber Hex Rods,,,258249,New Category,
,,,,,Rubber Hex Tubes,,,258250,New Category,
,,,,,Rubber Round Rods,,,258251,New Category,
,,,,,Rubber Round Tubes,,,258252,New Category,
,,,,,Rubber Sheets,,,258253,New Category,
,,,,,Rubber Spheres,,,258254,New Category,
,,,,,Rubber Square Bars,,,258255,New Category,
,,,,,Rubber Square Tubes,,,258256,New Category,
,,,-,Lumber & Veneer,,,,258257,New Category,
,,,,,Lumber Wood,,,258258,New Category,
,,,,,Veneer Sheets & Rolls,,,258259,New Category,
,,,,Other Raw Materials,,,,258260,New Category,
